,Genome,Genus,Species
110,GCF_000389755.1,Pectobacterium,atrosepticum
111,GCF_003049805.1,Dickeya,fangzhongdai
112,GCF_003628655.1,Pectobacterium,parmentieri
113,GCF_018628895.1,Dickeya,dianthicola
114,GCF_013449495.1,Pectobacterium,carotovorum
115,GCF_000738115.1,Pectobacterium,brasiliense
116,GCF_007210685.1,Dickeya,chrysanthemi
117,GCF_013334145.1,Dickeya,solani
118,GCF_016404885.1,Dickeya,solani
119,GCF_004296715.1,Pectobacterium,versatile A
120,GCF_002846995.1,Dickeya,solani
121,GCF_000808315.1,Pectobacterium,brasiliense
122,GCF_000294535.1,Pectobacterium,brasiliense
123,GCF_016944275.1,Pectobacterium,brasiliense
124,GCF_016949145.1,Pectobacterium,brasiliense
125,GCF_002904185.1,Pectobacterium,carotovorum
126,GCF_000024645.1,Pectobacterium,parmentieri
127,GCF_000808385.1,Pectobacterium,brasiliense
128,GCF_000023545.1,Musicola,paradisiaca
129,GCF_016949695.1,Pectobacterium,polaris
130,GCF_001417915.1,Dickeya,solani
131,GCF_007858975.2,Dickeya,poaceiphila
132,GCF_013449395.1,Pectobacterium,carotovorum
133,GCF_014946835.1,Pectobacterium,aquaticum
134,GCF_016950225.1,Pectobacterium,brasiliense
135,GCF_000808115.1,Pectobacterium,brasiliense
136,GCF_016949275.1,Pectobacterium,brasiliense
